Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
77vYwoC7e3pVoPq8BA9CuL,"0YrtvWJMgSdVrk3SfNjTbx","I Will Possess Your Heart","Narrow Stairs","Death Cab for Cutie",2008-04-29,505773,57,spotify:user:gianvitot,2018-10-02T08:16:23Z,"indie pop,indie rock,modern rock,pop rock,washington indie",0.605,0.619,9,-8.971,0,0.0261,0.423,0.313,0.0732,0.578,133.074,4
7o9uu2GDtVDr9nsR7ZRN73,"2BTZIqw0ntH9MvilQ3ewNY","Time After Time","She's So Unusual","Cyndi Lauper",1983-10-14,241333,74,spotify:user:gianvitot,2018-10-02T08:16:32Z,"dance pop,dance rock,mellow gold,new wave pop,permanent wave,pop rock,soft rock",0.726,0.449,0,-9.206,1,0.0286,0.487,0.00000134,0.0824,0.294,130.388,4
0nbAKsTcygTNGU5dxO6y8f,"6UUrUCIZtQeOf8tC0WuzRy","Hoppípolla","Takk","Sigur Rós",2005,268706,0,spotify:user:gianvitot,2018-10-02T08:16:42Z,"bow pop,compositional ambient,dream pop,ethereal wave,icelandic rock,melancholia,nordic post-rock,post-rock",0.306,0.688,11,-6.446,1,0.0325,0.0281,0.223,0.207,0.176,140.026,4
2nMeu6UenVvwUktBCpLMK9,"00FQb4jTyendYWaN8pK0wa","Young And Beautiful","Young And Beautiful","Lana Del Rey",2013-01-01,236053,80,spotify:user:gianvitot,2018-10-02T08:16:53Z,"art pop,pop",0.324,0.416,11,-8.92,0,0.0368,0.262,0.0000369,0.11,0.151,113.986,4
2GAIycsMaDVtMtdvxzR2xI,"1dfeR4HaWDbWqFHLkxsg1d","Bohemian Rhapsody - Remastered 2011","Queen 40 Limited Edition Collector's Box Set","Queen",2011-01-01,354320,53,spotify:user:gianvitot,2018-10-02T08:17:08Z,"classic rock,glam rock,rock",0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883,4
6By5EZtl0GKQuRZBZbk1LU,"1WPcVNert9hn7mHsPKDn7j","La Vie en rose","The Voice Of the Sparrow / The Very Best Of Edith Piaf (Domestic Only)","Édith Piaf",1987-10-31,187733,37,spotify:user:gianvitot,2018-10-02T08:17:27Z,"chanson,torch song,vintage schlager",0.371,0.278,7,-8.596,0,0.0303,0.981,0,0.272,0.338,82.331,4
3SdTKo2uVsxFblQjpScoHy,"3plJVWt88EqjvtuB4ZDRV3","Stand by Me","Don't Play That Song (Mono)","Ben E. King",1962-08-20,180055,79,spotify:user:gianvitot,2018-10-02T08:17:33Z,"adult standards,brill building pop,motown,rock-and-roll,soul,southern soul",0.65,0.306,9,-9.443,1,0.0393,0.57,0.00000707,0.0707,0.605,118.068,4
6wNeKPXF0RDKyvfKfri5hf,"63yrD80RY3RNEM2YDpUpO8","Dollhouse","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,231853,74,spotify:user:gianvitot,2018-10-02T08:20:51Z,"alt z,dance pop,electropop,pop",0.725,0.708,5,-5.331,0,0.0756,0.22,0,0.777,0.555,130.029,4
60eOMEt3WNVX1m1jmApmnX,"4kI8Ie27vjvonwaB2ePh8T","Live in the Moment","Woodstock","Portugal. The Man",2017-06-16,246786,64,spotify:user:gianvitot,2018-10-02T08:20:58Z,"indie rock,modern alternative rock,modern rock,rock",0.546,0.583,6,-7.317,0,0.0348,0.002,0.173,0.115,0.235,128.017,4
26yxV0knc0b1b9ggx3T7OD,"0ba6wsfB7G2rhdHMebCdO3","Pianoforte A Vela","Mea Culpa (Gold Edition)","Clementino",2014-01-01,247486,38,spotify:user:gianvitot,2018-10-02T08:21:32Z,"italian hip hop,italian pop,rap napoletano",0.477,0.725,7,-6.963,0,0.454,0.221,0,0.144,0.389,83.983,4
4Musyaro0NM5Awx8b5c627,"3AQRLZ9PuTAozP28Skbq8V","The Man Who Can't Be Moved","The Script","The Script",2008-09-08,241466,59,spotify:user:gianvitot,2018-10-02T08:21:51Z,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",0.608,0.629,10,-5.024,1,0.0264,0.423,0,0.0978,0.325,99.953,4
1x5sYLZiu9r5E43kMlt9f8,"6MDME20pz9RveH9rEXvrOM,1Xylc3o4UrD53lo9CvFvVg","Symphony (feat. Zara Larsson)","Symphony (feat. Zara Larsson)","Clean Bandit,Zara Larsson",2017-03-16,212459,76,spotify:user:gianvitot,2018-10-02T08:22:10Z,"dance pop,edm,pop,pop dance,post-teen pop,tropical house,uk dance,uk funky,electropop,scandipop,swedish electropop,swedish pop",0.707,0.629,0,-4.581,0,0.0563,0.259,0.000016,0.138,0.457,122.863,4
4stm6lf1vQBSl7Eq4Npzr0,"5KORW1YGiERJqfuYjXMCyz","Big City Life","Signs Of A Struggle","Mattafix",2005,240893,67,spotify:user:gianvitot,2018-10-03T09:56:21Z,"reggae fusion",0.69,0.618,2,-9.36,1,0.0904,0.0175,0.00000326,0.0891,0.733,174.038,4
0l4clqQ4hCTKCRyqPCgjX7,"25mrbNwFzoqPWyYXLhiDRw","All My Days","Away We Go Original Motion Picture Soundtrack","Alexi Murdoch",2009-06-23,297306,36,spotify:user:gianvitot,2018-10-03T09:57:24Z,"acoustic pop,british singer-songwriter,indie folk,neo mellow,stomp and holler",0.438,0.319,2,-15.969,1,0.0304,0.789,0.756,0.106,0.529,88.538,4
6fzcnVO0X2cpYjsHk19GJo,"51Blml2LZPmy7TTiAg47vQ","Sometimes You Can't Make It On Your Own","How To Dismantle An Atomic Bomb","U2",2004-01-01,305080,58,spotify:user:gianvitot,2018-10-03T09:57:41Z,"irish rock,permanent wave,rock",0.53,0.597,2,-5.652,1,0.0247,0.00275,0.473,0.105,0.346,96,4
3laSUUt7DWRNjUeZeHOAv6,"05w7SMzyJQ1wK6YLnwWcNT","Cattive intenzioni","Cattive intenzioni","EDO",2018-07-16,198278,0,spotify:user:gianvitot,2018-10-03T09:58:45Z,"",0.59,0.682,7,-8.939,1,0.0379,0.0593,0.00116,0.325,0.686,155.041,4
67XY71utwLqciyMKOBRYGO,"5v6wlK6GCKVovWMbPqSHNy","Stay Close","Now","Fireflight",2012-03-02,207560,39,spotify:user:gianvitot,2018-10-03T10:00:58Z,"christian alternative rock,christian music,christian rock,pixie,pop emo",0.389,0.967,5,-3.837,0,0.146,0.00128,0.00000591,0.335,0.24,180.065,4
0YKDoBUfXObhiCu66qmSq3,"0kD8IT1CzF7js2XKM9lLLa","My Demons","Transmissions","STARSET",2014-11-21,288036,0,spotify:user:gianvitot,2018-10-03T10:01:07Z,"alternative metal,future rock",0.274,0.652,5,-6.196,0,0.0625,0.00768,0.0000642,0.108,0.1,173.009,4
3hxoYmSHzIBwSS2bPTOfbg,"41AbNVba2ccpmcc9QtOJE7","Misread","Riot On An Empty Street","Kings of Convenience",2004-01-01,188400,63,spotify:user:gianvitot,2018-10-03T10:01:54Z,"bergen indie,melancholia,norwegian indie",0.637,0.625,6,-9.783,1,0.0382,0.734,0.514,0.128,0.896,160.748,4
3JOVTQ5h8HGFnDdp4VT3MP,"5oRnbmgqvvq7fVlgk4vcEa,0RkqytrwoGyXGvDiZwT6i2","Mad World (Feat. Michael Andrews)","Trading Snakeoil for Wolftickets","Gary Jules,Michael Andrews",2001-01-01,189506,69,spotify:user:gianvitot,2018-10-03T10:04:21Z,"neo mellow,soundtrack",0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,4
754kgU5rWscRTfvlsuEwFp,"0lJlKQvuM2Sd9DPPyUXcHg","Kiss Me","Sixpence None the Richer","Sixpence None The Richer",1997-11-22,208680,77,spotify:user:gianvitot,2018-10-03T10:11:18Z,"neo mellow,pop rock",0.526,0.749,3,-6.964,1,0.0283,0.023,0.00000176,0.0692,0.421,99.982,4
7vLqyRAO6JQ9IXhd8ogQcp,"3JdXKIGz9QG8yyfmE6I1qY,6PXwO0WNpPLNgKCNAlkyvW","Il bevitore longevo","Bucolicesimo","Duo bucolico,Giacomo Toni",2014-03-18,211000,41,spotify:user:gianvitot,2018-10-03T13:32:16Z,"italian reggae",0.664,0.5,7,-6.07,1,0.193,0.854,0,0.614,0.942,140.856,4
4l2hnfUx0esSbITQa7iJt0,"43ZHCT0cAZBISjO8DG9PnE,2GyakhIO8twSgCnUFfCzTN","A Little Less Conversation - JXL Radio Edit Remix","Elvis 75 - Good Rockin' Tonight","Elvis Presley,JXL",2009-12-28,211173,0,spotify:user:gianvitot,2018-10-03T13:59:34Z,"adult standards,rock-and-roll,rockabilly,big beat",0.586,0.935,4,-9.386,0,0.0482,0.000155,0.277,0.159,0.58,114.997,4
1FTSo4v6BOZH9QxKc3MbVM,"7MhMgCo0Bl0Kukl93PZbYS","Song 2 - 2012 Remaster","Blur (Special Edition)","Blur",1997-02-10,121160,77,spotify:user:gianvitot,2018-10-03T13:59:57Z,"alternative rock,britpop,dance rock,madchester,modern rock,permanent wave,pop rock,rock",0.674,0.789,8,-6.903,1,0.0676,0.00178,0.0071,0.0754,0.918,129.804,4
244AvzGQ4Ksa5637JQu5Gy,"1moxjboGR7GNWYIMWsRjgG","You've Got The Love","Lungs (Deluxe Version)","Florence + The Machine",2009,168666,72,spotify:user:gianvitot,2018-10-04T09:40:45Z,"baroque pop,pop,uk alternative pop",0.574,0.694,6,-4.697,1,0.0327,0.00481,0,0.102,0.401,109.85,4
2fAIfPLrPUTW1AmJRR428Q,"0LbLWjaweRbO4FDKYlbfNt","Ruby","Yours Truly, Angry Mob","Kaiser Chiefs",2007-01-01,204200,68,spotify:user:gianvitot,2018-10-04T09:40:57Z,"alternative rock,dance-punk,modern rock,rock",0.451,0.939,5,-2.82,0,0.0512,0.00673,0.00000485,0.0774,0.448,93.416,4
3hfM7GfK9J0UqRS4VEyugl,"3uC7RGF9NH9DIJWq92UB6O","Brielle","An Airplane Carried Me To Bed","Sky Sailing",2010-01-01,246146,42,spotify:user:gianvitot,2018-10-06T15:10:51Z,"alternative pop rock",0.523,0.584,10,-6.858,1,0.0259,0.257,0.00000162,0.108,0.476,138.012,3
7yq4Qj7cqayVTp3FF9CWbm,"10exVja0key0uqUkk6LJRT","Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,81,spotify:user:gianvitot,2018-10-06T15:11:55Z,"folk-pop,modern rock,pop,pop rock",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
75JFxkI2RXiU7L9VXzMkle,"4gzpq5DPGxSnKTe4SA8HAU","The Scientist","A Rush of Blood to the Head","Coldplay",2002-08-08,309600,84,spotify:user:gianvitot,2018-10-09T15:40:55Z,"permanent wave,pop",0.557,0.442,5,-7.224,1,0.0243,0.731,0.0000146,0.11,0.213,146.277,4
4b2tcjrG1qUkSdsqEFP2dB,"2XnBwblw31dfGnspMIwgWz,1xNmvlEiICkRlRGqlNFZ43,6hyMWrxGBsOx6sWcVj1DqP","Sun Is Shining","More Than You Know","Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",2017-07-28,254653,72,spotify:user:gianvitot,2018-10-11T08:58:16Z,"dance pop,edm,electro house,pop,pop dance,tropical house,disco house,house,progressive electro house,progressive house,tech house,vocal house",0.467,0.757,2,-3.01,1,0.0517,0.0866,0,0.0742,0.383,131.993,4
6DDoFN7yNQmL2YXojqAk8S,"0aeLcja6hKzb7Uz2ou7ulP","L.I.F.E.G.O.E.S.O.N.","Last Night On Earth","Noah And The Whale",2011-01-01,226946,51,spotify:user:gianvitot,2018-10-11T09:52:16Z,"indie pop,stomp and holler",0.608,0.745,4,-5.82,1,0.0354,0.205,0,0.342,0.595,82.003,4
6si71supnBUhddjR2FJc2L,"2mpeljBig2IXLXRAFO9AAs","White Flag","Life For Rent","Dido",2003,240040,69,spotify:user:gianvitot,2018-10-11T09:52:29Z,"dance pop,pop rock",0.509,0.537,5,-6.834,1,0.0384,0.347,0.00000729,0.0805,0.311,170.03,4
58zsLZPvfflaiIbNWoA22O,"4f9iBmdUOhQWeP7dcAn1pf","Human","Human (Deluxe)","Rag'n'Bone Man",2017-02-10,200186,78,spotify:user:gianvitot,2018-10-11T14:19:07Z,"neo soul",0.602,0.707,9,-4.097,1,0.302,0.393,0,0.165,0.554,75.087,4
3dYD57lRAUcMHufyqn9GcI,"2FXC3k01G6Gw61bmprjgqS","Take Me To Church","Hozier","Hozier",2014-07-20,241688,84,spotify:user:gianvitot,2018-10-11T14:19:31Z,"irish singer-songwriter,modern rock,pop",0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,4
4eS9g2FLy8qDN7j4txFK0S,"7rftfGIYEeZ79sLb58ZBDi","Out Of Reach","Now And Always: 20 Years Of Dreaming","Gabrielle",2013-01-01,197867,50,spotify:user:gianvitot,2018-10-11T15:10:49Z,"british soul,dance pop,europop,new wave pop,pop rock",0.656,0.476,11,-6.506,1,0.0288,0.471,0,0.105,0.525,91.524,4
45210TcDhU3Jh34lzOd1P6,"5aYyPjAsLj7UzANzdupwnS","We Believe","Greatest Hits","Good Charlotte",2010-11-12,231786,38,spotify:user:gianvitot,2018-10-12T14:35:22Z,"pop punk",0.56,0.788,6,-4.871,1,0.0263,0.000809,0,0.105,0.364,105.523,4
10rChmECwPcvTTj4w07hq4,"2p4FqHnazRucYQHyDCdBrJ","Welcome to My Life","Still Not Getting Any","Simple Plan",2004-10-26,206773,70,spotify:user:gianvitot,2018-10-12T14:36:44Z,"canadian pop punk,canadian punk,canadian rock,pop punk",0.421,0.858,1,-4.535,1,0.0963,0.0134,0,0.067,0.491,173.255,4
0fYVliAYKHuPmECRs1pbRf,"3NPpFNZtSTHheNBaWC82rB","Renegades","VHS","X Ambassadors",2015-06-30,195200,78,spotify:user:gianvitot,2018-10-12T14:37:20Z,"modern alternative rock,modern rock,pop,pop rock,rock,stomp pop",0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4
2PzU4IB8Dr6mxV3lHuaG34,"22bE4uQ6baNwSHPVcDxLCe","(I Can't Get No) Satisfaction - Mono Version","Out Of Our Heads","The Rolling Stones",1965-07-30,222813,78,spotify:user:gianvitot,2018-10-14T10:19:45Z,"british invasion,classic rock,rock",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4
5p3JunprHCxClJjOmcLV8G,"42TFhl7WlMRXiNqzSrnzPL","Walk On the Wild Side","Transformer","Lou Reed",1972-12-01,254173,76,spotify:user:gianvitot,2018-10-14T10:21:51Z,"art rock,classic rock,dance rock,glam rock,permanent wave,psychedelic rock,rock,singer-songwriter",0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,4
4UPyr3Tep8idtAmisAu1qs,"5lzqFxifzjxYHGJxuwQqtR","Occidentali's Karma - Radio Edit","Occidentali's Karma","Francesco Gabbani",2017-02-09,217625,50,spotify:user:gianvitot,2018-10-17T07:47:19Z,"italian adult pop,italian pop",0.669,0.832,10,-4.014,1,0.075,0.0424,0.00000389,0.111,0.582,114.046,4
40riOy7x9W7GXjyGp4pjAv,"0ECwFtbIWEVNwjlrfc6xoL","Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,84,spotify:user:gianvitot,2018-10-17T07:48:16Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
17ahSrFGTLNAEAquP1P88n,"11wRdbnoYqRddKBrpHt4Ue","Goodbye Kiss","Velociraptor!","Kasabian",2011-09-19,243960,54,spotify:user:gianvitot,2018-10-17T07:49:10Z,"alternative rock,britpop,garage rock,indie rock,leicester indie,modern rock,rock",0.615,0.836,7,-4.648,1,0.0419,0.0788,0,0.62,0.877,123.005,4
3ZGwnXKbrQQIQXw7sHa9GS,"7sfgqEdoeBTjd8lQsPT3Cy","Heaven","Heaven","Emeli Sandé",2011-01-01,252832,38,spotify:user:gianvitot,2018-10-17T07:55:56Z,"dance pop,neo soul,pop,r&b,uk pop",0.39,0.948,8,-3.337,0,0.257,0.0387,0.0109,0.116,0.247,92.98,3
3zrVeqzfYBW7uHQCNgOMOV,"679k99IJomQUuRMbhiohrY","Orchestra","Orchestra","The Servant",2003,212226,12,spotify:user:gianvitot,2018-10-17T08:06:06Z,"british alternative rock",0.512,0.834,9,-5.365,0,0.0339,0.00883,0,0.175,0.448,77.077,4
22NgXItkvlsvoIxUg8om07,"6q8f3fxaWqkXzkbxtKOzYF","Occhi da orientale","Monetine","Daniele Silvestri",2008-05-09,233466,47,spotify:user:gianvitot,2018-10-17T08:06:18Z,"classic italian pop,italian adult pop,italian alternative,italian indie pop",0.578,0.834,0,-5.473,0,0.0495,0.232,0.0000301,0.105,0.634,93.944,4
5BTBBUwbXB7AVTUd5maNee,"6iuybPv0Mii8x21mztjaUN,1O60mnSM6G8r2Reuw5jTgk","Ti lascerò","I Grandi Successi","Anna Oxa,Fausto Leali",2006-02-01,240933,52,spotify:user:gianvitot,2018-10-17T10:44:16Z,"classic italian pop,italian adult pop",0.45,0.567,0,-5.034,1,0.0367,0.765,0,0.114,0.152,138.225,4
5fVZC9GiM4e8vu99W0Xf6J,"0zOcE3mg9nS6l3yxt1Y0bK","How to Save a Life","How To Save A Life","The Fray",2005-09-13,262533,83,spotify:user:gianvitot,2018-10-19T07:57:00Z,"neo mellow,piano rock,pop,pop rock",0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4
5vfSqlXgfTtKLn3OWoAVnn,"5tTsrGPwQRWUsHR2Xf7Ke9","Unforgettable (Duet with Nat King Cole)","Unforgettable: With Love","Natalie Cole",1991,211586,0,spotify:user:gianvitot,2018-10-20T18:00:14Z,"adult standards,lounge,mellow gold,motown,quiet storm,soft rock,soul,vocal jazz",0.323,0.314,2,-11.517,0,0.0279,0.915,0.000463,0.101,0.121,83.146,4
0xYkr8xRLT8vbFA1yrSYO1,"0Tuudqq2NACRXkvTQGazY2","Rotolando Verso Sud","L'Uomo Sogna Di Volare","Negrita",2005,285760,55,spotify:user:gianvitot,2018-11-02T08:40:51Z,"classic italian pop,italian adult pop",0.527,0.795,10,-7.345,1,0.0369,0.44,0.000466,0.106,0.968,83.496,4
6amk3asEUvijfCf6gMGaYy,"6FcVd3KlRxozcLl19FMXu9","Lo strano percorso","Il mondo insieme a te","Max Pezzali",2004-05-28,250960,42,spotify:user:gianvitot,2018-11-02T08:41:08Z,"classic italian pop,europop,italian adult pop,italian pop",0.596,0.903,2,-4.994,1,0.0319,0.209,0,0.092,0.674,126.901,4
0q9GZ7xKL0Hs3sa6jKjCFd,"396Jr76018oUMR6QBnqT8T","Il Sole","La Teoria Dei Colori","Cesare Cremonini",2012-01-01,281653,24,spotify:user:gianvitot,2018-11-02T08:42:00Z,"classic italian pop,italian adult pop,italian indie pop,italian pop",0.424,0.686,7,-7.163,1,0.032,0.581,0.000167,0.0898,0.411,99.94,3
0STK94RxUulYqWzwFlyAb5,"6S2OmqARrzebs0tKUEyXyp","Sober","Sober","Demi Lovato",2018-06-21,197893,73,spotify:user:gianvitot,2018-11-04T14:40:58Z,"dance pop,pop,pop dance,post-teen pop",0.397,0.303,1,-10.413,1,0.11,0.798,0.00000416,0.0824,0.17,170.22,3
7iu0WYLdo4yksKf3seaxzI,"5pKCCKE2ajJHZ9KAiaK11H,21E3waRsmPlU7jZsS13rcj","Hate That I Love You","Good Girl Gone Bad: Reloaded","Rihanna,Ne-Yo",2008-06-02,218946,71,spotify:user:gianvitot,2018-11-11T16:09:06Z,"barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary,pop rap",0.637,0.73,5,-5.38,0,0.0874,0.323,0,0.0981,0.732,93.867,4
5aJhuze13LOoLthmiG8YIA,"2R1QrQqWuw3IjoP5dXRFjt","When The Beat Drops Out","Electric Soul","Marlon Roudette",2014-01-01,204026,58,spotify:user:gianvitot,2018-11-11T16:09:27Z,"uk pop",0.379,0.647,5,-7.72,0,0.197,0.214,0,0.125,0.342,217.648,4
3Q9FA2LP9Abih9xkFeNb6U,"0SwO7SWeDHJijQ3XNS7xEE","Time to Pretend","Time to Pretend","MGMT",2008-01-25,261000,36,spotify:user:gianvitot,2018-11-20T11:30:06Z,"alternative dance,indie rock,indietronica,modern rock,rock",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
0mUyMawtxj1CJ76kn9gIZK,"7xTcuBOIAAIGDOSvwYFPzk","Bad Day","Daniel Powter","Daniel Powter",2005-02-22,233640,77,spotify:user:gianvitot,2018-11-20T11:30:55Z,"canadian pop,neo mellow,pop rock",0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,4
6gxycjJNMgmAyfzUXBN80P,"7KMqksf0UMdyA0UCf4R3ux","Goodbye My Lover","Back to Bedlam","James Blunt",2005-08-08,258653,68,spotify:user:gianvitot,2018-11-20T11:31:12Z,"neo mellow,pop,pop rock",0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,4
3wPPWcVuinAU7dXcJXtCID,"1bT7m67vi78r2oqvxrP3X5,2wY79sveU1sp5g7SokKOiI","La La La","Hotel Cabana (Deluxe Version)","Naughty Boy,Sam Smith",2013-01-01,222200,70,spotify:user:gianvitot,2018-12-02T16:29:16Z,"pop dance,tropical house,uk contemporary r&b,dance pop,pop,post-teen pop,uk pop",0.772,0.65,6,-5.202,0,0.0306,0.107,0.00000113,0.0905,0.262,125.083,4
5TbzAWWc5eJaANpA9kfGCd,"34v5MVKeQnIo0CWYMbbrPf","Love Me Again","Tribute","John Newman",2013-01-01,239894,74,spotify:user:gianvitot,2018-12-30T11:58:33Z,"pop dance",0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,4
3XVBdLihbNbxUwZosxcGuJ,"3DiDSECUqqY1AuBP8qtaIa","If I Ain't Got You","The Diary Of Alicia Keys","Alicia Keys",2003-12-02,228706,80,spotify:user:gianvitot,2019-01-02T21:34:10Z,"hip pop,neo soul,pop,r&b,urban contemporary",0.609,0.445,7,-9.129,1,0.106,0.603,0.00000677,0.104,0.166,118.393,3
0nJW01T7XtvILxQgC5J7Wh,"0du5cEVh5yTK9QJze8zA0C","When I Was Your Man","Unorthodox Jukebox","Bruno Mars",2012-12-07,213826,85,spotify:user:gianvitot,2019-01-02T21:35:00Z,"pop",0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4
6jBUP2KCe821yqf1hiBqPR,"3LpLGlgRS1IKPPwElnpW35,2jw70GZXlAI8QzWeY2bgRc","Broken Strings","Songs For You, Truths For Me (International Exclusive Bundle)","James Morrison,Nelly Furtado",2008-01-01,250453,72,spotify:user:gianvitot,2019-01-02T21:47:23Z,"neo mellow,neo soul,pop,pop rock,canadian latin,canadian pop,dance pop,pop dance,pop rap",0.57,0.717,1,-4.914,1,0.029,0.00967,0,0.0833,0.321,111.91,4
1uWTlK72KKpzsCHhu62OV5,"4WN5naL3ofxrVBgFpguzKo,66TrUkUZ3RM29dqeDQRgyA","Waiting All Night (feat. Ella Eyre)","Home (Deluxe Edition)","Rudimental,Ella Eyre",2013-02-22,292586,67,spotify:user:gianvitot,2019-01-02T21:51:21Z,"dance pop,edm,house,liquid funk,pop,pop dance,tropical house,uk dance,uk funky,post-teen pop,uk pop",0.544,0.728,6,-5.358,0,0.05,0.00264,0.00959,0.427,0.281,174.983,4
